Izglītības iestāde,Rīgas Sanatorijas internātpamatskola,"Brīvības gatve 384A, Rīga, LV-1006"
Izglītības iestāde,Rīgas 49. vidusskola,"Krišjāņa Valdemāra iela 65, Rīga, LV-1010"
Izglītības iestāde,Carnikavas pamatskola,"Nākotnes iela 1, Carnikava, Carnikavas nov., LV-2163"
Izglītības iestāde,Rīgas 46. vidusskola,"Skuju iela 28, Rīga, LV-1015"
Izglītības iestāde,Zaķumuižas pamatskola,"Skolas iela 3, Zaķumuiža, Ropažu nov., LV-2133"
Izglītības iestāde,Š. Dubnova Rīgas Ebreju vidusskola,"Miera iela 62, Rīga, LV-1013"
Izglītības iestāde,Mērsraga vidusskola,"Skolas iela 8, Mērsrags, Mērsraga nov., LV-3284"
Izglītības iestāde,Jāņa Eglīša Preiļu Valsts ģimnāzija,"Kooperatīvā iela 6, Preiļi, Preiļu nov., LV-5301"
Izglītības iestāde,Priekuļu tehnikums,"Egļu gatve 9, Priekuļi, Priekuļu pag., Priekuļu nov., LV-4126"
Izglītības iestāde,Vaivaru pamatskola,"Skautu iela 2, Jūrmala, LV-2008"
Izglītības iestāde,Daugavpils Centra vidusskola,"Kandavas iela 17, Daugavpils, LV-5401"
Izglītības iestāde,Lāču pamatskola,"Muzeja iela 2, Lociki, Naujenes pag., Daugavpils nov., LV-5458"
Izglītības iestāde,Daugavpils 11. pamatskola,"Arhitektu iela 10, Daugavpils, LV-5410"
Izglītības iestāde,Daugavpils pilsētas 24. pirmsskolas izglītības iestāde,"Muzeja iela 9, Daugavpils, LV-5401"
Izglītības iestāde,Daugavpils 13. vidusskola,"Valkas iela 4A, Daugavpils, LV-5417"
Izglītības iestāde,Rīgas 45. vidusskola,"Ropažu iela 34, Rīga, LV-1039"
Izglītības iestāde,Rīgas Valsts vācu ģimnāzija,"Āgenskalna iela 21, Rīga, LV-1048"
Izglītības iestāde,Ilūkstes Raiņa vidusskola,"Raiņa iela 49, Ilūkste, Ilūkstes nov., LV-5447"
Izglītības iestāde,Rīgas Valsts tehnikums,"Krišjāņa Valdemāra iela 1C, Rīga, LV-1010"
Izglītības iestāde,Kauguru vidusskola,"Raiņa iela 118, Jūrmala, LV-2016"
Izglītības iestāde,Daugavpils 9. vidusskola,"18. novembra iela 47, Daugavpils, LV-5401"
Izglītības iestāde,Rīgas Mūzikas internātvidusskola,"Kalnciema iela 160, Rīga, LV-1046"
Izglītības iestāde,Zvejniekciema vidusskola,"Atpūtas iela 1, Zvejniekciems, Saulkrastu pag., Saulkrastu nov., LV-2161"
Izglītības iestāde,Rīgas 9. vakara (maiņu) vidusskola,"Stāmerienas iela 8, Rīga, LV-1006"
Izglītības iestāde,Rīgas Centra daiļamatniecības pamatskola,"Aspazijas bulvāris 34, Rīga, LV-1050"
Izglītības iestāde,Kandavas Lauksaimniecības tehnikums,"Valteru iela 6, Kandava, Kandavas nov., LV-3120"
Izglītības iestāde,Rīgas 14. vakara (maiņu) vidusskola,"Margrietas iela 4, Rīga, LV-1046"
Izglītības iestāde,Rīgas 33. vidusskola,"Stūrmaņu iela 23, Rīga, LV-1016"
Izglītības iestāde,"Limbažu pilsētas 3. pirmsskolas izglītības iestāde  ""Spārīte""","Dārza iela 24, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Limbažu sākumskola,"Rīgas iela 28, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Umurgas pamatskola,"Skolas iela 8A, Umurga, Umurgas pag., Limbažu nov., LV-4004"
Izglītības iestāde,Limbažu un Salacgrīvas novadu sporta skola,"Parka iela 36, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Ozolaines pirmsskolas izglītības iestāde,"Zariņš, Bekši, Ozolaines pag., Rēzeknes nov., LV-4633"
Izglītības iestāde,Limbažu novada ģimnāzija,"Rīgas iela 28, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Limbažu 3. vidusskola,"Parka iela 38, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Limbažu Bērnu un jauniešu centrs,"Rīgas iela 19, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Jelgavas Amatu vidusskola,"Akadēmijas iela 25, Jelgava, LV-3001"
Izglītības iestāde,Ķeipenes pamatskola,"Ziedu iela 3, Ķeipene, Ķeipenes pag., Ogres nov., LV-5062"
Izglītības iestāde,Annas Brigaderes pamatskola,"Annas Brigaderes skola, Kroņauce, Tērvetes pag., Tērvetes nov., LV-3730"
Izglītības iestāde,Kalnciema vidusskola,"Kalnciema vidusskola, Valgundes pag., Jelgavas nov., LV-3017"
Izglītības iestāde,Rīgas 80. vidusskola,"Andromedas gatve 11, Rīga, LV-1084"
Izglītības iestāde,Rīgas Hanzas vidusskola,"Grostonas iela 5, Rīga, LV-1013"
Izglītības iestāde,Rīgas 95. vidusskola,"Bruknas iela 5, Rīga, LV-1058"
Izglītības iestāde,Rīgas 40.vidusskola,"Tērbatas iela 15/17, Rīga, LV-1011"
Izglītības iestāde,Privātā vidusskola INNOVA,"Krišjāņa Barona iela 130, Rīga, LV-1012"
Izglītības iestāde,Ogresgala pamatskola,"Nākotnes iela 4, Ogresgals, Ogresgala pag., Ogres nov., LV-5041"
Izglītības iestāde,Rīgas Natālijas Draudziņas vidusskola,"Bruņinieku iela 24A, Rīga, LV-1001"
Izglītības iestāde,Rīgas 41. vidusskola,"Slokas iela 49A, Rīga, LV-1007"
Izglītības iestāde,Bērzpils vidusskola,"Dārza iela 12, Bērzpils, Bērzpils pag., Balvu nov., LV-4576"
Izglītības iestāde,Rīgas 21. vidusskola,"Tomsona iela 35, Rīga, LV-1013"
Izglītības iestāde,Āgenskalna sākumskola,"Kandavas iela 4 k-1, Rīga, LV-1083"
Izglītības iestāde,"Mācību centrs ""Lenoks""","Ģimnāzijas iela 5, Daugavpils, LV-5401"
Izglītības iestāde,"Profesionālās izglītības kompetences centrs  ""Daugavpils tehnikums""","Strādnieku iela 16, Daugavpils, LV-5404"
Izglītības iestāde,Ilūkstes novada Bērnu un jauniešu centrs,"Raiņa iela 33A, Ilūkste, Ilūkstes nov., LV-5447"
Izglītības iestāde,Mācību centrs LatInSoft,"Ģimnāzijas iela 7/9, Daugavpils, LV-5401"
Izglītības iestāde,Preiļu 2. vidusskola,"Andreja Paulāna iela 2, Preiļi, Preiļu nov., LV-5301"
Izglītības iestāde,Rudzātu vidusskola,"Miera iela 13, Rudzāti, Rudzātu pag., Līvānu nov., LV-5328"
Izglītības iestāde,Priežmalas pamatskola,"Skolas iela 6, Priežmale, Kastuļinas pag., Aglonas nov., LV-5685"
Izglītības iestāde,Jēkabpils Tālākizglītības un informācijas tehnoloģiju centrs,"Jaunā iela 44, Jēkabpils, LV-5201"
Izglītības iestāde,Jēkabpils Agrobiznesa koledža,"Pasta iela 1, Jēkabpils, LV-5201"
Izglītības iestāde,Variešu sākumskola,"Variešu sākumskola, Varieši, Variešu pag., Krustpils nov., LV-5236"
Izglītības iestāde,Brāļu Skrindu Atašienes vidusskola,"Marinzeja, Atašienes pag., Krustpils nov., LV-5211"
Izglītības iestāde,Lādezera pamatskola,"Skolas iela 1, Lādezers, Limbažu pag., Limbažu nov., LV-4011"
Izglītības iestāde,Murjāņu Sporta Ģimnāzija,"Klintslejas 4, Murjāņi, Sējas nov., LV-2142"
Izglītības iestāde,Stelpes pamatskola,"Stelpes pamatskola, Stelpes pag., Vecumnieku nov., LV-3925"
Izglītības iestāde,Rīgas Tirdzniecības profesionālā vidusskola,"Tomsona iela 3/5, Rīga, LV-1013"
Izglītības iestāde,Salas sākumslola,"Pīlādzīši, Spuņciems, Salas pag., Babītes nov., LV-2105"
Izglītības iestāde,Rīgas Ķengaraga vidusskola,"Maskavas iela 273, Rīga, LV-1063"
Izglītības iestāde,Nautrēnu vidusskola,"Vidusskola, Rogovka, Nautrēnu pag., Rēzeknes nov., LV-4652"
Izglītības iestāde,"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""","Apuzes iela 74, Rīga, LV-1029"
Izglītības iestāde,Vestienas pamatskola,"Vestienas muiža, Vestiena, Vestienas pag., Madonas nov., LV-4855"
Izglītības iestāde,Madlienas vidusskola,"Skola, Madliena, Madlienas pag., Ogres nov., LV-5045"
Izglītības iestāde,"Limbažu pilsētas 1. pirmsskolas izglītības iestāde  ""Buratīno""","Parka iela 5, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Pāles pamatskola,"Skolotāju iela 4, Pāle, Pāles pag., Limbažu nov., LV-4052"
Izglītības iestāde,Daudzeses pamatskola,"Skola, Daudzese, Daudzeses pag., Jaunjelgavas nov., LV-5111"
Izglītības iestāde,Vīpes pamatskola,"Vīpes skola, Vīpes pag., Krustpils nov., LV-5238"
Izglītības iestāde,A. Eglīša Ļaudonas vidusskola,"Dzirnavu iela 2, Ļaudona, Ļaudonas pag., Madonas nov., LV-4862"
Izglītības iestāde,Alojas Ausekļa vidusskola,"Ausekļa iela 1, Aloja, Alojas nov., LV-4064"
Izglītības iestāde,Bērzaunes pamatskola,"Ozolu iela 2, Bērzaune, Bērzaunes pag., Madonas nov., LV-4853"
Izglītības iestāde,Burtnieku novada Rencēnu pamatskola,"Parka iela 1, Rencēni, Rencēnu pag., Burtnieku nov., LV-4232"
Izglītības iestāde,Cēsu novada pašvaldības Līvu sākumskola,"Krīvi, Krīvi, Vaives pag., Cēsu nov., LV-4136"
